epochs,train_loss,valid_loss,train_acc,valid_acc,time
1,2.2425373,2.1943367,0.18725855549640308,0.2069760295021512,141.48139238357544
2,2.0044029,1.564212,0.2890372251115934,0.446220036877689,144.96500372886658
3,1.6822945,1.2884243,0.4090530597758576,0.5586969883220652,143.94050288200378
4,1.4033475,1.0042068,0.5225575712901156,0.667639827904118,146.44308137893677
5,1.2073716,0.8540137,0.5942640293760323,0.7203057775046097,146.38461756706238
6,1.0638574,0.7639943,0.6466276260289119,0.7512292562999385,145.6370143890381
7,0.9625969,0.67563844,0.6816276942817752,0.7819222495390289,141.29949975013733
8,0.8914956,0.62903684,0.7074682282921768,0.7985172095881992,141.5574951171875
9,0.8374562,0.5890688,0.7279031355365357,0.8124615857406269,141.8696846961975
10,0.7917179,0.55390716,0.7426730551346629,0.8217962507682852,141.7411675453186
11,0.75730985,0.53785485,0.7556547497167506,0.8289028887523049,139.6442790031433
12,0.71883845,0.5101037,0.7689094557516688,0.8358942839582053,139.15550184249878
13,0.6912986,0.47446236,0.7776458222422431,0.8491856177012908,140.25864624977112
14,0.66877097,0.441719,0.7855768049469676,0.8623617086662569,142.81745433807373
15,0.6402596,0.47598395,0.7948864954884858,0.8500691456668715,145.07933139801025
16,0.61766523,0.415853,0.8022714552875493,0.8695835894283959,142.21378755569458
17,0.6013129,0.406888,0.80882373015548,0.8730024585125998,142.0131528377533
18,0.5841839,0.39209548,0.813369370845107,0.8758451137062078,145.78309273719788
19,0.5683509,0.38776466,0.8192254665083201,0.8781499692685925,148.46369910240173
20,0.55035716,0.37488785,0.824139672659268,0.8820298094652735,139.4118459224701
21,0.53433114,0.39446715,0.8296818051517261,0.8777274124154887,139.53057742118835
22,0.523004,0.332772,0.8339271332432395,0.8961278426551936,137.9733908176422
23,0.51271504,0.36940178,0.8368756569338084,0.883681622618316,141.93957090377808
24,0.4966298,0.32883388,0.8443834718866456,0.8947449293177627,139.34494638442993
25,0.4879452,0.33000043,0.8461034440394775,0.895321143208359,138.74581003189087
26,0.47755206,0.3219336,0.8494068826187259,0.8998540258143823,140.51523447036743
27,0.46945864,0.3349262,0.852546514326276,0.897318684695759,138.47344851493835
28,0.45723754,0.32584304,0.8555086885894864,0.9000845113706207,134.36630129814148
29,0.44714302,0.30842784,0.8597676672536413,0.9055777504609711,135.201477766037
30,0.43895888,0.3040318,0.8617743014319451,0.9079978488014752,134.9635615348816
31,0.42922044,0.29952383,0.8649548848574198,0.909380762138906,136.08271527290344
32,0.42031813,0.31059757,0.8671389764800633,0.9037722802704364,138.87868213653564
33,0.41409016,0.28731316,0.8699919461621415,0.91279963122311,137.91465210914612
34,0.40763488,0.30062008,0.8726674583998799,0.9090350338045482,140.7014355659485
35,0.39879903,0.26960126,0.8762166072866757,0.9162185003073141,144.66336822509766
36,0.39281115,0.2661419,0.8771721473715822,0.9201367547633682,144.1663362979889
37,0.3823604,0.30042937,0.8813765237451711,0.907959434542102,142.92360520362854
38,0.37647724,0.2664104,0.8828234844451724,0.9188306699446834,145.20374250411987
39,0.36990282,0.2881182,0.8849529737772499,0.9111478180700676,139.57588744163513
40,0.36574623,0.26965153,0.8862497781781946,0.9185233558696988,138.22718787193298
